time,i,v1,v2
0,0.8983053600000002,10,9.10169464
0.001,-0.02924623134781612,9.510565162951535,9.539811394299351
0.002,-0.953953778072,8.090169943749475,9.044123721821475
0.003,-1.78526657308622,5.87785252292473,7.66311909601095
0.004,-2.441824302080025,3.090169943749475,5.5319942458295
0.005,-2.859371392593685,6.123031769111886e-16,2.859371392593686
0.006,-2.997017454798292,-3.090169943749478,-0.09315248895118555
0.007,-2.841291808905749,-5.877852522924734,-3.036560714018985
0.008,-2.40744217468484,-8.090169943749473,-5.682727769064633
0.009,-1.737932794201666,-9.510565162951536,-7.77263236874987
0.01,-0.8983015160975203,-10,-9.10169848390248
0.011,0.02926210899351034,-9.510565162951535,-9.539827271945045
0.012,0.9539616185794486,-8.090169943749469,-9.044131562328918
0.013,1.785280607472584,-5.877852522924726,-7.663133130397309
0.014,2.441844009855229,-3.090169943749467,-5.532013953604697
0.015,2.859382744029932,-1.836909530733566e-15,-2.859382744029934
0.016,2.997025015986025,3.090169943749472,0.0931449277634476
0.017,2.841295917104388,5.877852522924737,3.036556605820349
0.018,2.407443112747696,8.090169943749478,5.682726831001782
0.019,1.737932811242176,9.510565162951538,7.772632351709362
0.02,0.8983000408113764,10,9.101699959188624
0.021,-0.02926491147712973,9.510565162951535,9.539830074428664
0.022,-0.953951137043143,8.090169943749469,9.044121080792612
0.023,-1.785272558369862,5.877852522924726,7.663125081294589
0.024,-2.441838547214538,3.09016994374946,5.532008490963999
0.025,-2.859376786312485,-5.820268312445309e-15,2.85937678631248
0.026,-2.997021260461959,-3.090169943749488,-0.09314868328752919
0.027,-2.841296677410855,-5.877852522924742,-3.036555845513887
0.028,-2.407444588182787,-8.090169943749482,-5.682725355566695
0.029,-1.737935096458888,-9.51056516295154,-7.772630066492652
0.03,-0.8983043340240915,-10,-9.101695665975909
0.031,0.02925890484626237,-9.510565162951536,-9.539824067797799
0.032,0.9539580586828986,-8.090169943749476,-9.044128002432375
0.033,1.785277035314574,-5.87785252292472,-7.663129558239294
0.034,2.441840739470507,-3.090169943749461,-5.532010683219968
0.035,2.859380134573009,1.347744615562418e-14,-2.859380134572996
0.036,2.997023367743457,3.090169943749487,0.09314657600602973
0.037,2.841297119069041,5.877852522924742,3.036555403855701
0.038,2.407444872894756,8.090169943749482,5.682725070854725
0.039,1.737935179026477,9.510565162951545,7.772629983925068
0.04,0.8983043465429184,10,9.101695653457082
0.041,-0.02925885063527645,9.510565162951526,9.539824013586802
0.042,-0.9539580761812978,8.090169943749467,9.044128019930765
0.043,-1.785277052826181,5.877852522924735,7.663129575750916
0.044,-2.441840730028954,3.090169943749462,5.532010673778416
0.045,-2.859380138616302,5.510728592200698e-15,2.859380138616307
0.046,-2.99702337165081,-3.090169943749486,-0.09314657209867597
0.047,-2.841297119125235,-5.877852522924726,-3.036555403799492
0.048,-2.407444897879542,-8.09016994374949,-5.682725045869948
0.049,-1.737935161846949,-9.51056516295154,-7.772630001104591
0.05,-0.8983043309937244,-10,-9.101695669006276
0.051,0.02925882744557917,-9.510565162951533,-9.539823990397112
0.052,0.9539580967999974,-8.090169943749457,-9.044128040549454
0.053,1.785277073876676,-5.877852522924723,-7.663129596801399
0.054,2.441840730587416,-3.090169943749447,-5.532010674336863
0.055,2.859380103086355,1.102823344797943e-14,-2.859380103086344
0.056,2.997023375348535,3.090169943749502,0.09314656840096623
0.057,2.841297160655568,5.877852522924741,3.036555362269172
0.058,2.407448292494029,8.09016994374949,5.682721651255461
0.059,1.737944545295355,9.510565162951538,7.772620617656183
0.06,0.8983089712208017,10,9.101691028779198
0.061,-0.02925508464857707,9.510565162951533,9.53982024760011
0.062,-0.9539548427182538,8.09016994374948,9.044124786467734
0.063,-1.785274190319438,5.877852522924724,7.663126713244162
0.064,-2.441837889526429,3.090169943749482,5.532007833275911
0.065,-2.859377873928021,-9.803627094157052e-15,2.859377873928011
0.066,-2.997022201340773,-3.090169943749501,-0.09314774240872779
0.067,-2.841296685193485,-5.877852522924739,-3.036555837731254
0.068,-2.407445127113718,-8.09016994374949,-5.682724816635773
0.069,-1.737936047387155,-9.510565162951538,-7.772629115564383
0.07,-0.8983057206591951,-10,-9.101694279340805
0.071,0.02925703197484175,-9.510565162951533,-9.539822194926375
0.072,0.9539559003834892,-8.090169943749459,-9.044125844132948
0.073,1.78527491792582,-5.877852522924696,-7.663127440850516
0.074,2.441838790841064,-3.090169943749449,-5.532008734590513
0.075,2.859378472858091,8.579020740334675e-15,-2.859378472858083
0.076,2.997022271459939,3.090169943749499,0.09314767228956009
0.077,2.84129665259366,5.877852522924738,3.036555870331078
0.078,2.407445124194698,8.09016994374951,5.682724819554812
0.079,1.737936095755568,9.510565162951538,7.77262906719597
0.08,0.8983057745980751,10,9.101694225401925
0.081,-0.02925697445548892,9.510565162951533,9.539822137407022
0.082,-0.9539558475932406,8.090169943749437,9.044125791342678
0.083,-1.785274876673433,5.877852522924725,7.663127399598157
0.084,-2.441838762743088,3.09016994374945,5.532008706492539
0.085,-2.859378457271967,-7.354414386512298e-15,2.859378457271959
0.086,-2.997022264517718,-3.090169943749464,-0.09314767923174622
0.087,-2.841296648083535,-5.877852522924766,-3.036555874841231
0.088,-2.40744511482669,-8.090169943749489,-5.682724828922798
0.089,-1.737936074533414,-9.510565162951549,-7.772629088418134
0.09,-0.8983057364039162,-10,-9.101694263596084
0.091,0.02925703144932257,-9.510565162951535,-9.539822194400857
0.092,0.9539559208924011,-8.09016994374946,-9.044125864641861
0.093,1.785274959012948,-5.877852522924697,-7.663127481937646
0.094,2.441838842375319,-3.090169943749485,-5.532008786124804
0.095,2.859378519041925,6.129808032689921e-15,-2.859378519041919
0.096,2.997022291671796,3.09016994374953,0.09314765207773452
0.097,2.84129662464668,5.877852522924765,3.036555898278085
0.098,2.407445028279719,8.090169943749487,5.682724915469768
0.099,1.737935918447066,9.510565162951538,7.772629244504472
0.1,0.8983055311640094,10,9.101694468835991
0.1,0.8983055311640094,10,9.101694468835991
